"","state","year","barrels","type"
"1","AK",2008,2067.69,"On Premises"
"2","AK",2009,2263.65,"On Premises"
"3","AK",2010,1929.15,"On Premises"
"4","AK",2011,2251.02,"On Premises"
"5","AK",2012,2312.43,"On Premises"
"6","AK",2013,2155.6,"On Premises"
"7","AK",2014,2114.97,"On Premises"
"8","AK",2015,4511.48,"On Premises"
"9","AK",2016,13315.93,"On Premises"
"10","AK",2017,15974.1,"On Premises"
"11","AK",2018,30620.23,"On Premises"
"12","AK",2019,32849.37,"On Premises"
"13","AL",2008,723.53,"On Premises"
"14","AL",2009,238.6,"On Premises"
"15","AL",2010,161.24,"On Premises"
"16","AL",2011,0,"On Premises"
"17","AL",2012,46.5,"On Premises"
"18","AL",2013,130.55,"On Premises"
"19","AL",2014,226.25,"On Premises"
"20","AL",2015,6109.99,"On Premises"
"21","AL",2016,23810.78,"On Premises"
"22","AL",2017,29160.56,"On Premises"
"23","AL",2018,41718.66,"On Premises"
"24","AL",2019,47160.08,"On Premises"
"25","AR",2008,1328.35,"On Premises"
"26","AR",2009,1279.34,"On Premises"
"27","AR",2010,1331.85,"On Premises"
"28","AR",2011,1124.98,"On Premises"
"29","AR",2012,1265.93,"On Premises"
"30","AR",2013,558.14,"On Premises"
"31","AR",2014,657.12,"On Premises"
"32","AR",2015,1609.38,"On Premises"
"33","AR",2016,6091.89,"On Premises"
"34","AR",2017,13441.2,"On Premises"
"35","AR",2018,25150.46,"On Premises"
"36","AR",2019,16568.73,"On Premises"
"37","AZ",2008,14857.81,"On Premises"
"38","AZ",2009,15640.69,"On Premises"
"39","AZ",2010,16800.24,"On Premises"
"40","AZ",2011,19897.83,"On Premises"
"41","AZ",2012,19165.96,"On Premises"
"42","AZ",2013,18763.52,"On Premises"
"43","AZ",2014,17173,"On Premises"
"44","AZ",2015,29869.1,"On Premises"
"45","AZ",2016,41613.95,"On Premises"
"46","AZ",2017,45424.11,"On Premises"
"47","AZ",2018,47009.71,"On Premises"
"48","AZ",2019,49699.26,"On Premises"
"49","CA",2008,61172.74,"On Premises"
"50","CA",2009,54504.99,"On Premises"
"51","CA",2010,58276.38,"On Premises"
"52","CA",2011,65069.7,"On Premises"
"53","CA",2012,64239.95,"On Premises"
"54","CA",2013,60559.56,"On Premises"
"55","CA",2014,65035.4,"On Premises"
"56","CA",2015,124974.7,"On Premises"
"57","CA",2016,201066.01,"On Premises"
"58","CA",2017,293554.62,"On Premises"
"59","CA",2018,359636.06,"On Premises"
"60","CA",2019,399692.97,"On Premises"
"61","CO",2008,48528.59,"On Premises"
"62","CO",2009,49895.79,"On Premises"
"63","CO",2010,50584.87,"On Premises"
"64","CO",2011,60811.37,"On Premises"
"65","CO",2012,57966.73,"On Premises"
"66","CO",2013,60133.43,"On Premises"
"67","CO",2014,72839.26,"On Premises"
"68","CO",2015,121814.79,"On Premises"
"69","CO",2016,141312.55,"On Premises"
"70","CO",2017,163026.9,"On Premises"
"71","CO",2018,176577.49,"On Premises"
"72","CO",2019,175934.31,"On Premises"
"73","CT",2008,2205.67,"On Premises"
"74","CT",2009,2075.57,"On Premises"
"75","CT",2010,1988.38,"On Premises"
"76","CT",2011,2530.8,"On Premises"
"77","CT",2012,1876.05,"On Premises"
"78","CT",2013,1770.05,"On Premises"
"79","CT",2014,1447.6,"On Premises"
"80","CT",2015,13218.19,"On Premises"
"81","CT",2016,10705.61,"On Premises"
"82","CT",2017,21767.05,"On Premises"
"83","CT",2018,26871.86,"On Premises"
"84","CT",2019,34422.9,"On Premises"
"85","DC",2008,2957.74,"On Premises"
"86","DC",2009,2948.61,"On Premises"
"87","DC",2010,3574.26,"On Premises"
"88","DC",2011,1676.54,"On Premises"
"89","DC",2012,1572.75,"On Premises"
"90","DC",2013,2250.9,"On Premises"
"91","DC",2014,4504.3,"On Premises"
"92","DC",2015,7207.31,"On Premises"
"93","DC",2016,8969.72,"On Premises"
"94","DC",2017,11096.42,"On Premises"
"95","DC",2018,10027.41,"On Premises"
"96","DC",2019,16347.97,"On Premises"
"97","DE",2008,2005.33,"On Premises"
"98","DE",2009,2205.38,"On Premises"
"99","DE",2010,2308.99,"On Premises"
"100","DE",2011,2541.38,"On Premises"
"101","DE",2012,2718.28,"On Premises"
"102","DE",2013,2868.28,"On Premises"
"103","DE",2014,2771.7,"On Premises"
"104","DE",2015,5865.02,"On Premises"
"105","DE",2016,7647.56,"On Premises"
"106","DE",2017,9254.17,"On Premises"
"107","DE",2018,13816.8,"On Premises"
"108","DE",2019,14478.8,"On Premises"
"109","FL",2008,7078.61,"On Premises"
"110","FL",2009,6426.66,"On Premises"
"111","FL",2010,7554.46,"On Premises"
"112","FL",2011,6761.68,"On Premises"
"113","FL",2012,6817.8,"On Premises"
"114","FL",2013,6440.29,"On Premises"
"115","FL",2014,6585.28,"On Premises"
"116","FL",2015,38265.32,"On Premises"
"117","FL",2016,88092.72,"On Premises"
"118","FL",2017,122617.24,"On Premises"
"119","FL",2018,138723.04,"On Premises"
"120","FL",2019,182784.12,"On Premises"
"121","GA",2008,3751.97,"On Premises"
"122","GA",2009,3038.61,"On Premises"
"123","GA",2010,4165.69,"On Premises"
"124","GA",2011,4248.35,"On Premises"
"125","GA",2012,3480.3,"On Premises"
"126","GA",2013,4647.37,"On Premises"
"127","GA",2014,4432.32,"On Premises"
"128","GA",2015,17920.74,"On Premises"
"129","GA",2016,30539.97,"On Premises"
"130","GA",2017,51488.76,"On Premises"
"131","GA",2018,51856.22,"On Premises"
"132","GA",2019,55631.8,"On Premises"
"133","HI",2008,1875.2,"On Premises"
"134","HI",2009,1578.85,"On Premises"
"135","HI",2010,1680.25,"On Premises"
"136","HI",2011,1886.65,"On Premises"
"137","HI",2012,2084.01,"On Premises"
"138","HI",2013,1972.63,"On Premises"
"139","HI",2014,1380.6,"On Premises"
"140","HI",2015,4131.2,"On Premises"
"141","HI",2016,5623.03,"On Premises"
"142","HI",2017,8503.95,"On Premises"
"143","HI",2018,12037.94,"On Premises"
"144","HI",2019,11721.24,"On Premises"
"145","IA",2008,6817.26,"On Premises"
"146","IA",2009,6487.26,"On Premises"
"147","IA",2010,6597.31,"On Premises"
"148","IA",2011,6808.03,"On Premises"
"149","IA",2012,6515.51,"On Premises"
"150","IA",2013,6003.19,"On Premises"
"151","IA",2014,5676.54,"On Premises"
"152","IA",2015,17866.34,"On Premises"
"153","IA",2016,29975.6,"On Premises"
"154","IA",2017,49090.14,"On Premises"
"155","IA",2018,74918.83,"On Premises"
"156","IA",2019,61429.37,"On Premises"
"157","ID",2008,3385.1,"On Premises"
"158","ID",2009,3195.88,"On Premises"
"159","ID",2010,4089.04,"On Premises"
"160","ID",2011,5305.86,"On Premises"
"161","ID",2012,5376.69,"On Premises"
"162","ID",2013,4675.48,"On Premises"
"163","ID",2014,4573.66,"On Premises"
"164","ID",2015,13809.09,"On Premises"
