"year","brewer_size","n_of_brewers","total_barrels","taxable_removals","total_shipped"
2009,"6,000,001 Barrels and Over",18,171232881.59,159643984.23,3639970
2009,"1,000,001 to 6,000,000 Barrels",4,9970404.28,9592722.75,14548
2009,"500,001 to 1,000,000 Barrels",7,4831385.68,4535659.48,21563
2009,"100,001 to 500,000 Barrels",27,5422155.72,4469288.93,128000
2009,"60,001 to 100,000 Barrels",19,1501976.56,1224618.44,95732
2009,"30,001 to 60,000 Barrels",32,1412244.73,1233958.75,14369
2009,"15,001 to 30,000 Barrels",40,895133.22,750528.77,19808
2009,"7,501 to 15,000 Barrels",42,442753.54,388968.45,240
2009,"1,001 to 7,500 Barrels",357,859934.81,769155.15,12
2009,"1 to 1,000 Barrels",1037,400401.17,371872.85,123
2009,"Under 1 Barrel",195,3.7,14711.36,119
2009,"Total",1778,196969275,182995469.16,3934233
2010,"6,000,001 Barrels and Over",17,160771860.7,149598222.82,3659459
2010,"1,000,000 to 6,000,000 Barrels",5,15450769.1,14777149.88,37401
2010,"500,001 to 1,000,000 Barrels",9,7138171.64,6362275.19,16610
2010,"100,001 to 500,000 Barrels",32,6123725.23,5127607.785,254925
2010,"60,001 to 100,000 Barrels",16,1226091.75,1034161.388,12534
2010,"30,001 to 60,000 Barrels",38,1544051.1,1256492.475,42409
2010,"15,001 to 30,000 Barrels",40,911065.75,781016.15,19077
2010,"7,501 to 15,000 Barrels",51,560159.34,465843.88,4521
2010,"1,001 to 7,500 Barrels",428,1059505.163,962969.633,2227
2010,"1 to 1,000 Barrels",1178,426003.383,393941.57,1279
2010,"Total",1814,195211403.156,180759680.771,4050445
2011,"6,000,001 Barrels and Over",16,138963353.84,128108304.25,3578089
2011,"2,000,000 to 6,000,000 Barrels",5,17703591,16695626.31,84271
2011,"1,000,001 to 1,999,999 Barrels",9,13524548.35,12843570.78,363998
2011,"500,001 to 1,000,000 Barrels",11,8448633.99,7946481.07,50702
2011,"100,001 to 500,000 Barrels",41,7926808.21,6624765.18,242865
2011,"60,001 to 100,000 Barrels",16,1157839.9,1059934.77,11701
